REGION	DEP	CANTON	TYPCT	BURCENTRAL	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
84	01	01	1	01004	1		AMBERIEU-EN-BUGEY		Ambérieu-en-Bugey
84	01	02	1	01024	1		ATTIGNAT		Attignat
84	01	03	1	01033	0		BELLEGARDE-SUR-VALSERINE		Bellegarde-sur-Valserine
84	01	04	1	01034	0		BELLEY		Belley
84	01	05	2	01053	0		BOURG-EN-BRESSE-1		Bourg-en-Bresse-1
84	01	06	2	01053	0		BOURG-EN-BRESSE-2		Bourg-en-Bresse-2
84	01	07	1	01072	0		CEYZERIAT		Ceyzériat
84	01	08	1	01093	0		CHATILLON-SUR-CHALARONNE		Châtillon-sur-Chalaronne
84	01	09	1	01173	0		GEX		Gex
84	01	10	1	01185	0		HAUTEVILLE-LOMPNES		Hauteville-Lompnes
84	01	11	1	01202	0		LAGNIEU		Lagnieu
84	01	12	1	01244	0		MEXIMIEUX		Meximieux
84	01	13	1	01249	0		MIRIBEL		Miribel
84	01	14	1	01269	0		NANTUA		Nantua
84	01	15	1	01283	1		OYONNAX		Oyonnax
84	01	16	1	01304	0		PONT-D'AIN		Pont-d'Ain
84	01	17	1	01320	0		REPLONGES		Replonges
84	01	18	1	01350	0		SAINT-ETIENNE-DU-BOIS		Saint-Étienne-du-Bois
84	01	19	1	01354	0		SAINT-GENIS-POUILLY		Saint-Genis-Pouilly
84	01	20	1	01419	0		THOIRY		Thoiry
84	01	21	1	01427	0		TREVOUX		Trévoux
84	01	22	1	01443	0		VILLARS-LES-DOMBES		Villars-les-Dombes
84	01	23	1	01457	0		VONNAS		Vonnas
32	02	01	1	02095	0		BOHAIN-EN-VERMANDOIS		Bohain-en-Vermandois
32	02	02	1	02168	0		CHATEAU-THIERRY		Château-Thierry
32	02	03	1	02173	0		CHAUNY		Chauny
32	02	04	1	02290	1		ESSOMES-SUR-MARNE		Essômes-sur-Marne
32	02	05	1	02305	0		FERE-EN-TARDENOIS		Fère-en-Tardenois
32	02	06	1	02360	0		GUIGNICOURT		Guignicourt
32	02	07	1	02361	0		GUISE		Guise
32	02	08	1	02381	1		HIRSON		Hirson
32	02	09	2	02408	0		LAON-1		Laon-1
32	02	10	2	02408	0		LAON-2		Laon-2
32	02	11	1	02468	0		MARLE		Marle
32	02	12	1	02648	0		RIBEMONT		Ribemont
32	02	13	2	02691	0		SAINT-QUENTIN-1		Saint-Quentin-1
32	02	14	2	02691	0		SAINT-QUENTIN-2		Saint-Quentin-2
32	02	15	2	02691	0		SAINT-QUENTIN-3		Saint-Quentin-3
32	02	16	2	02722	0		SOISSONS-1		Soissons-1
32	02	17	2	02722	0		SOISSONS-2		Soissons-2
32	02	18	1	02738	0		TERGNIER		Tergnier
32	02	19	1	02789	0		VERVINS		Vervins
32	02	20	1	02795	0		VIC-SUR-AISNE		Vic-sur-Aisne
32	02	21	1	02810	0		VILLERS-COTTERETS		Villers-Cotterêts
84	03	01	1	03023	0		BELLERIVE-SUR-ALLIER		Bellerive-sur-Allier
84	03	02	1	03036	0		BOURBON-L'ARCHAMBAULT		Bourbon-l'Archambault
84	03	03	1	03082	0		COMMENTRY		Commentry
84	03	04	1	03095	0		CUSSET		Cusset
84	03	05	1	03102	0		DOMPIERRE-SUR-BESBRE		Dompierre-sur-Besbre
84	03	06	1	03118	0		GANNAT		Gannat
84	03	07	1	03128	1		HURIEL		Huriel
84	03	08	1	03138	0		LAPALISSE		Lapalisse
84	03	09	2	03185	0		MONTLUCON-1		Montluçon-1
84	03	10	2	03185	0		MONTLUCON-2		Montluçon-2
84	03	11	2	03185	0		MONTLUCON-3		Montluçon-3
84	03	12	2	03185	0		MONTLUCON-4		Montluçon-4
84	03	13	2	03190	0		MOULINS-1		Moulins-1
84	03	14	2	03190	0		MOULINS-2		Moulins-2
84	03	15	1	03254	0		SAINT-POURCAIN-SUR-SIOULE		Saint-Pourçain-sur-Sioule
84	03	16	1	03275	0		SOUVIGNY		Souvigny
84	03	17	2	03310	0		VICHY-1		Vichy-1
84	03	18	2	03310	0		VICHY-2		Vichy-2
84	03	19	1	03321	1		YZEURE		Yzeure
93	04	01	1	04019	0		BARCELONNETTE		Barcelonnette
93	04	02	1	04039	0		CASTELLANE		Castellane
93	04	03	1	04049	0		CHATEAU-ARNOUX-SAINT-AUBAN		Château-Arnoux-Saint-Auban
93	04	04	2	04070	0		DIGNE-LES-BAINS-1		Digne-les-Bains-1
93	04	05	2	04070	0		DIGNE-LES-BAINS-2		Digne-les-Bains-2
93	04	06	1	04088	0		FORCALQUIER		Forcalquier
93	04	07	2	04112	0		MANOSQUE-1		Manosque-1
93	04	08	2	04112	0		MANOSQUE-2		Manosque-2
93	04	09	2	04112	0		MANOSQUE-3		Manosque-3
93	04	10	1	04143	1		ORAISON		Oraison
93	04	11	1	04160	0		REILLANNE		Reillanne
93	04	12	1	04166	0		RIEZ		Riez
93	04	13	1	04205	0		SEYNE		Seyne
93	04	14	1	04209	0		SISTERON		Sisteron
93	04	15	1	04230	0		VALENSOLE		Valensole
93	05	01	1	05006	5	(L')	ARGENTIERE-LA-BESSEE	(L')	Argentière-la-Bessée
93	05	02	2	05023	0		BRIANCON-1		Briançon-1
93	05	03	2	05023	0		BRIANCON-2		Briançon-2
93	05	04	1	05040	0		CHORGES		Chorges
93	05	05	1	05046	1		EMBRUN		Embrun
93	05	06	4	05061	0		GAP-1		Gap-1
93	05	07	4	05061	0		GAP-2		Gap-2
93	05	08	4	05061	0		GAP-3		Gap-3
93	05	09	4	05061	0		GAP-4		Gap-4
93	05	10	1	05065	0		GUILLESTRE		Guillestre
93	05	11	1	05070	0		LARAGNE-MONTEGLIN		Laragne-Montéglin
93	05	12	1	05132	0		SAINT-BONNET-EN-CHAMPSAUR		Saint-Bonnet-en-Champsaur
93	05	13	1	05166	0		SERRES		Serres
93	05	14	1	05170	0		TALLARD		Tallard
93	05	15	1	05179	0		VEYNES		Veynes
93	06	01	2	06004	1		ANTIBES-1		Antibes-1
93	06	02	4	06004	1		ANTIBES-2		Antibes-2
93	06	03	2	06004	1		ANTIBES-3		Antibes-3
93	06	04	1	06012	0		BEAUSOLEIL		Beausoleil
93	06	05	4	06027	0		CAGNES-SUR-MER-1		Cagnes-sur-Mer-1
93	06	06	2	06027	0		CAGNES-SUR-MER-2		Cagnes-sur-Mer-2
93	06	07	5	06029	0		CANNES-1		Cannes-1
93	06	08	4	06029	0		CANNES-2		Cannes-2
93	06	09	2	06030	2	(LE)	CANNET	(Le)	Cannet
93	06	10	1	06048	0		CONTES		Contes
93	06	11	2	06069	0		GRASSE-1		Grasse-1
93	06	12	2	06069	0		GRASSE-2		Grasse-2
93	06	13	1	06079	0		MANDELIEU-LA-NAPOULE		Mandelieu-la-Napoule
93	06	14	1	06083	0		MENTON		Menton
93	06	15	4	06088	0		NICE-1		Nice-1
93	06	16	4	06088	0		NICE-2		Nice-2
93	06	17	2	06088	0		NICE-3		Nice-3
